Breed,Bite_Circumstance,Date_of_Dangerous_Act,Forward_Sortation_Area
ROTTWEILER,SEVERE,2023-10-27,M5V
PARSON RUSS TER / SHIH TZU,NOT A BITE,2023-10-29,M6M
BOXER,SEVERE,2023-11-05,M4C
PIT BULL TER,NOT A BITE,2023-11-07,M1T
LABRADOR RETR,NON SEVERE,2023-11-15,M1K
SHEPHERD,SEVERE,2023-11-24,M9R
SHEPHERD,SEVERE,2023-11-26,M6A
LABRADOR RETR,NOT A BITE,2023-11-26,M3C
CANE CORSO,NON SEVERE,2023-11-28,M6J
BOXER,NOT A BITE,2023-12-07,M3L
PIT BULL TER,NON SEVERE,2023-12-11,M9P
Husky,SEVERE,2023-12-15,M4B
ROTTWEILER,NOT A BITE,2023-12-17,M8Y
BULLDOG,SEVERE,2023-12-31,M2H
ROTTWEILER,NON SEVERE,2023-12-31,M4L
ROTTWEILER,SEVERE,2024-01-09,M9V
PIT BULL TER,SEVERE,2024-01-20,M6G
ROTTWEILER,NON SEVERE,2024-01-27,M6J
BORDER COLLIE,NON SEVERE,2024-01-28,M5A
BOXER,SEVERE,2024-02-03,M4A
LABRADOR RETR,NON SEVERE,2024-02-03,M4A
BULLDOG,SEVERE,2023-08-02,M1S
SHEPHERD,NOT A BITE,2024-02-07,M4S
MASTIFF,SEVERE,2024-02-12,M9C
BELG MALINOIS,SEVERE,2024-02-17,M5P
BULLDOG,SEVERE,2024-02-20,M4E
SAMOYED,NON SEVERE,2024-03-03,M6J
BULLDOG,NOT A BITE,2024-03-10,M4L
BULLDOG,SEVERE,2024-03-15,M4L
BULLDOG,SEVERE,2024-03-24,M9A
BULLDOG,NON SEVERE,2024-03-28,M9P
SHEPHERD,SEVERE,2024-04-13,M4L
BULLDOG,SEVERE,2024-04-30,M9C
STAFFORDSHIRE MIX,SEVERE,2024-05-01,M6K
SHEPHERD,VERY SEVERE,2024-05-04,M9C
BULLDOG,SEVERE,2024-05-04,M6B
DOBERMAN PINSCH,SEVERE,2024-05-06,M9P
BULLDOG,VERY SEVERE,2024-05-07,M9N
BULLDOG,NON SEVERE,2024-05-16,M1B
MASTIFF,SEVERE,2024-05-21,M1C
BULLDOG,SEVERE,2024-05-21,M1C
ROTTWEILER MIX,SEVERE,2024-05-23,M6S
PIT BULL TER,SEVERE,2024-05-27,M6B
BULLDOG,NON SEVERE,2024-06-01,M6K
SHEPHERD,SEVERE,2024-06-01,M1E
BULLDOG,SEVERE,2024-06-02,M6G
POODLE STND,NON SEVERE,2024-06-06,M4N
BULLDOG,NON SEVERE,2024-06-12,M1N
BULLDOG,NON SEVERE,2024-06-19,M1T
BULLDOG,SEVERE,2024-06-24,M6J
UNKNOWN,NON SEVERE,2024-06-28,No FSA Info
BULLDOG,SEVERE,2024-07-01,M9W
Husky,SEVERE,2024-07-05,M5M
SHEPHERD,NON SEVERE,2024-07-06,M9R
BULLDOG,NON SEVERE,2024-07-07,M1E
SHEPHERD,NON SEVERE,2024-07-15,M1M
